Date,Rendement,Rentabilite
2013-09-04,0.000497655223540891,-0.020989170372444015
2013-09-05,-2.9660248764514458e-05,0.0012525965231540348
2013-09-06,6.162996853922124e-05,-0.002595645523697115
2013-09-09,-0.00036853694475767165,0.01577809890526813
2013-09-10,-0.0005179351328749824,0.02270114558107224
2013-09-11,-0.00023846229501058345,0.010567341965563712
2013-09-12,3.37534140427104e-05,-0.0014934304588957216
2013-09-13,-0.00022750802528477573,0.010173226144186115
2013-09-16,0.00015271479818244966,-0.006780376331093942
2013-09-17,-8.628835575949048e-05,0.003846518570858533
2013-09-18,-0.0002568083743576894,0.011586495603777766
2013-09-19,-0.0002062672585773641,0.00939757427803729
2013-09-20,0.0005560813630619235,-0.024681730765356735
2013-09-23,3.432243869223622e-05,-0.0015209823705540457
2013-09-24,0.00019378754887751972,-0.008511160526870913
2013-09-25,-3.4243608137212135e-05,0.0015063510614053625
2013-09-26,-0.0001797465487059375,0.007972845360231165
2013-09-27,-0.0003313462502728669,0.014926511546492466
2013-09-30,-6.525370565769043e-06,0.0002940457144957882
2013-10-01,-0.00019395391190277892,0.008820469165020212
2013-10-02,-0.00021566699134850303,0.00990940745772843
2013-10-03,3.7744158834732615e-05,-0.0017311237656936363
2013-10-04,-1.2596240335244806e-05,0.0005780712138881199
2013-10-07,0.0003714340010446988,-0.016747810390927122
2013-10-08,0.0001906116927505945,-0.00851809701595809
2013-10-09,-3.97111833952747e-05,0.0017779198375075511
2013-10-10,-0.00044653320155795575,0.020418298972617963
2013-10-11,-0.00023200871352684226,0.01072770692628372
2013-10-14,-0.000196637236415734,0.009179278380343723
2013-10-15,-2.4323096835564125e-05,0.0011367799510599117
2013-10-16,-9.071131848858192e-05,0.0042583753733061
2013-10-17,-0.0001672427157136207,0.007915898161884566
2013-10-18,-2.367312713435629e-05,0.0011218022451451152
2013-10-21,-1.7719325511541242e-05,0.0008404042442825416
2013-10-22,0.0002448252594488338,-0.011472808350154014
2013-10-23,0.0005074902741774065,-0.023205638702109475
2013-10-24,2.5386994301788538e-05,-0.001159447128920935
2013-10-25,-0.0012053599947754547,0.05840318093049139
2013-10-28,9.095873239666729e-05,-0.004387070934549781
2013-10-29,2.8592654741455565e-05,-0.0013770862881878996
2013-10-30,-1.1446716141287896e-05,0.000551616346921663
2013-10-31,7.751630170980629e-05,-0.0037210205581663337
2013-11-01,-6.893247291307217e-05,0.0033204193135576926
2013-11-04,-0.00023484279225729376,0.011447071352711015
2013-11-05,-0.0003840659452082318,0.019092840009160242
2013-11-06,-0.0007953726075359961,0.041235195078053496
2013-11-07,0.00034314922235984164,-0.01746722270011265
2013-11-08,-0.00014279273373383306,0.007323873932932864
2013-11-11,9.666307793234757e-05,-0.0049324528564243944
2013-11-12,0.00011832865848435787,-0.006000319918264882
2013-11-13,-0.0004029490176316764,0.020876494237186356
2013-11-14,6.673767972411156e-05,-0.003445252885077365
2013-11-15,9.0391514569253e-05,-0.004643834308002476
2013-11-18,0.00032899839785774767,-0.016610300246469787
2013-11-19,0.00024759224459708416,-0.012117999153252401
2013-11-20,-0.00018359520599783548,0.009070623629059223
2013-11-21,-0.00016974615585682435,0.008460243056656668
2013-11-22,-8.900151950185385e-05,0.004456453025952737
2013-11-25,-3.641401169842031e-05,0.0018267747027013743
2013-11-26,0.00015174663670215958,-0.007552822970099093
2013-11-27,-0.00013095523215034168,0.006562485196229846
2013-11-29,-0.0002719459006590186,0.013823798780192074
2013-12-02,-0.0001605639805054006,0.008231778007430616
2013-12-03,6.991668630366845e-05,-0.0035711756413946555
2013-12-04,-0.00031066601560585783,0.0161341264667746
2013-12-05,0.000467314876958598,-0.023672387228845144
2013-12-06,-0.00018167769149924606,0.009292006519027054
2013-12-09,-0.00017093646640221,0.008822807016392337
2013-12-10,0.0002967373694345753,-0.01507595349737847
2013-12-11,0.00025661912471797594,-0.012863296907819417
2013-12-12,0.00020494918800487963,-0.0101646333698255
2013-12-13,0.00028550458444330333,-0.013954151514428302
2013-12-16,-0.00010599818013821897,0.0052088014927971936
2013-12-17,0.00019933043062936868,-0.009696291095736225
2013-12-18,-3.3039850807449714e-05,0.0016098955270675546
2013-12-19,0.0001830726740188924,-0.00883825045337308
2013-12-20,-0.00030329702969253105,0.01486911676341084
2013-12-23,9.825793747796893e-05,-0.004793046410348111
2013-12-24,-0.00024920747417401764,0.012312234360888814
2013-12-26,-0.00019076040351698366,0.009517977460560672
2013-12-27,7.903588721741415e-05,-0.003927374369192805
2013-12-30,-0.0,0.0
2013-12-31,-6.327941443293135e-05,0.0031547415027029613
2014-01-02,0.0001322933129375257,-0.0065504118461108575
2014-01-03,0.0001340854195879935,-0.006593578735417389
2014-01-06,0.00043027280040675806,-0.020702211621159053
2014-01-07,-0.0001565779807478821,0.007593214435526516
2014-01-08,0.00036724548466699695,-0.01748499291137801
2014-01-09,0.00013316693854583552,-0.006298600399261684
2014-01-10,-0.0002929891133551553,0.01406107787229072
2014-01-13,0.000618532572638665,-0.028793232133243755
2014-01-14,-0.00047020922235248015,0.022400002327104478
2014-01-15,-0.0005481148063768984,0.02684148832386337
2014-01-16,-7.052132955619747e-05,0.0034659313363851127
2014-01-17,0.00027955040343124625,-0.013545334389195427
2014-01-21,0.00011740034913244864,-0.005655002069779064
2014-01-22,0.00013585224289892247,-0.006499480906119655
2014-01-23,-7.098205903096523e-05,0.0034080048599782193
2014-01-24,-0.0004157672133105687,0.02038578596932707
2014-01-27,0.00042992422347422343,-0.020626997390436892
2014-01-28,-0.00013510167118626604,0.0065260140656997175
