Date,Rendement,Rentabilite
2013-09-04,-0.00015890842372931298,0.01657658386055678
2013-09-05,2.8502169716925344e-05,-0.0029642297670081827
2013-09-06,6.165599756571381e-05,-0.006370591000718959
2013-09-09,8.977879636825192e-05,-0.009189461600697066
2013-09-10,-0.00011659413561510857,0.012081184126201539
2013-09-11,-1.0273685600068454e-05,0.001065689301273275
2013-09-12,-0.00016737363504251972,0.017674414843031387
2013-09-13,-8.053194728393404e-05,0.008578390967182731
2013-09-16,-0.00010398027370110197,0.011202552389615464
2013-09-17,-5.1123099361382415e-05,0.0055389390124399255
2013-09-18,-2.815687943754245e-05,0.003060169247801465
2013-09-19,3.946838771375045e-05,-0.004270876439872473
2013-09-20,0.00013989883095857529,-0.014908544788913552
2013-09-23,-3.8944780660892516e-05,0.004167836299288887
2013-09-24,0.00013924619885593794,-0.014679119404195239
2013-09-25,6.505445765452611e-05,-0.006810342199845005
2013-09-26,-0.00014390376496515057,0.015299700452736445
2013-09-27,0.0001328313046225568,-0.013922129886902548
2013-09-30,6.580665589112173e-05,-0.006849086961130215
2013-10-01,-6.379540920117626e-05,0.006684999448859988
2013-10-02,4.0405468872604015e-05,-0.00421581925979313
2013-10-03,-4.442710658489659e-05,0.00465743226507569
2013-10-04,-1.805510408605154e-05,0.001896431175429018
2013-10-07,-3.7890647349967256e-05,0.0039960796286584764
2013-10-08,0.00026238918447019517,-0.02595879922745626
2013-10-09,-3.248948610598025e-05,0.0032248395041221565
2013-10-10,-0.00014048270752866913,0.014145231578185542
2013-10-11,-4.8030825891094154e-05,0.00486020647671249
2013-10-14,5.853476685136585e-05,-0.005887525967911877
2013-10-15,0.00010413868305923852,-0.010363710067207842
2013-10-16,-0.00019581041059163067,0.01988190979666225
2013-10-17,-0.00032907619369565146,0.03459155872693924
2013-10-18,-0.00020916087896181594,0.02249022562410566
2013-10-21,-0.00010383944762026627,0.011293881008288558
2013-10-22,-9.976349869550179e-05,0.010971806291735543
2013-10-23,5.6738491752610994e-05,-0.006200594320136327
2013-10-24,7.193590014449912e-05,-0.007798981061681526
2013-10-25,-5.226665890108458e-05,0.005699419180051695
2013-10-28,2.515733683258975e-05,-0.002735639350211397
2013-10-29,-9.274653222687231e-05,0.010190029817387584
2013-10-30,9.995994745844965e-05,-0.010861089181529653
2013-10-31,3.610991964570641e-06,-0.00039219348062603153
2013-11-01,3.613852722711221e-06,-0.00039234734308002134
2013-11-04,-0.00010541901292508373,0.01158006326079241
2013-11-05,0.0001764658426650343,-0.019009125386778913
2013-11-06,-9.268710253475491e-05,0.01008695361602808
2013-11-07,7.985377122786987e-05,-0.00861408023390941
2013-11-08,-5.489042957953638e-06,0.0005924778695395775
2013-11-11,4.409692317062068e-05,-0.004736779570853323
2013-11-12,-3.677674015093517e-05,0.0039664258218986195
2013-11-13,3.1241469238839714e-05,-0.0033579132357052315
2013-11-14,-5.134394120755821e-05,0.005549776282837274
2013-11-15,-7.288194965402415e-06,0.0007884150077399715
2013-11-18,-8.120070055646803e-05,0.008863343127708204
2013-11-19,-3.5755172596355423e-06,0.0003904355150493307
2013-11-20,6.842007670401557e-05,-0.007414841049723762
2013-11-21,3.629647829160691e-06,-0.0003931957489961572
2013-11-22,2.9141258556708773e-05,-0.0031467221793155357
2013-11-25,3.8530879733835955e-05,-0.004143070076060685
2013-11-26,-7.364143590631054e-06,0.0007924758884029531
2013-11-27,2.2127828217552117e-05,-0.0023754745693847943
2013-11-29,5.7658927634932094e-05,-0.006151033241401765
2013-12-02,6.786948073110213e-05,-0.007187269576100809
2013-12-03,-6.412480037624835e-05,0.006838027046964463
2013-12-04,4.328189084242778e-05,-0.004593814883351201
2013-12-05,8.778498408441572e-05,-0.009229614246217405
2013-12-06,-0.0001085352210212791,0.011545523253728268
2013-12-09,-1.690896762733495e-05,0.0018020077664066872
2013-12-10,9.855271796676032e-05,-0.010391663138398038
2013-12-11,0.00010849757319442763,-0.011308423935470102
2013-12-12,7.108167416621705e-05,-0.0073531295033961545
2013-12-13,5.803822988043247e-05,-0.005967309785910117
2013-12-16,-8.382894392021509e-05,0.008695435270126494
2013-12-17,0.00014053745013818043,-0.014364228401498699
2013-12-18,-0.00018190712908539686,0.018951818690931353
2013-12-19,7.852278520761876e-06,-0.0008174004551289008
2013-12-20,6.926475611765192e-05,-0.007157660703308353
2013-12-23,-9.864412570657734e-05,0.010300690316889098
2013-12-24,-7.74652440011796e-05,0.008156375842865816
2013-12-26,-3.826008086190907e-05,0.004045039224977267
2013-12-27,1.9056119184623811e-06,-0.00020142907697942317
2013-12-30,3.8135501180066428e-06,-0.00040293853448649053
2013-12-31,1.9079391463402518e-06,-0.00020155086044670168
2014-01-02,2.6792916869326396e-05,-0.002822209932133534
2014-01-03,0.00011264977315690681,-0.01172408492072061
2014-01-06,-5.277428980197946e-05,0.0055234338886365995
2014-01-07,-0.00011710254514681451,0.012411137339839826
2014-01-08,0.00015951983706150637,-0.016067660690321804
2014-01-09,0.00020695599913506034,-0.020411600701895866
2014-01-10,-5.2551654230630505e-05,0.005210606240506212
2014-01-13,0.00015286128638635426,-0.014925672745027234
2014-01-14,-1.0766435418655016e-05,0.0010523847446790944
2014-01-15,-0.00024965862635585595,0.02502646711705971
2014-01-16,-5.291747655866904e-05,0.005333450868168864
2014-01-17,3.6574559448544625e-05,-0.00367247139150962
2014-01-21,0.00013437295487125724,-0.013309267169223853
2014-01-22,7.813762538540826e-05,-0.007678675791805463
2014-01-23,-0.00011155268787163492,0.011086419000275441
