Date,Valeurs,Gain,Rendement,Rentabilite
2013-09-04,61.11,0.17999999999999972,-3.957549479473354e-05,0.0029146342540974333
2013-09-05,61.3,0.18999999999999773,-4.1521989359270695e-05,0.0030676254496850384
2013-09-06,61.39,0.09000000000000341,-1.957860351652215e-05,0.0014486106297624897
2013-09-09,61.59,0.20000000000000284,-4.3303147897847407e-05,0.0032145564383540314
2013-09-10,62.83,1.2399999999999949,-0.0002623262382075852,0.019870812258301503
2013-09-11,63.94,1.1099999999999994,-0.00022619374820191695,0.017440525971677112
2013-09-12,65.49,1.5499999999999972,-0.00030302704159861185,0.02393844934251145
2013-09-13,66.69,1.2000000000000028,-0.00022492765126830142,0.01809848050264837
2013-09-16,66.94,0.25,-4.5844885598922256e-05,0.003702843073615353
2013-09-17,66.98,0.04000000000000625,-7.303422921690473e-06,0.0005902466218946563
2013-09-18,67.11,0.12999999999999545,-2.3675997224378753e-05,0.0019172018767677898
2013-09-19,65.72,-1.3900000000000006,0.0002580045213708015,-0.02045425892669954
2013-09-20,65.01,-0.7099999999999937,0.00013604354432166066,-0.010667364854947873
2013-09-23,64.75,-0.2600000000000051,5.056508239780679e-05,-0.00394881962764688
2013-09-24,64.32,-0.4300000000000068,8.452398361994094e-05,-0.006556402657306806
2013-09-25,64.45,0.13000000000000966,-2.567270940591733e-05,0.0019954715692011983
2013-09-26,65.24,0.789999999999992,-0.00015381104660907487,0.012103752956493982
2013-09-27,65.19,-0.04999999999999716,9.624371558457726e-06,-0.0007567766094347545
2013-09-30,64.49,-0.7000000000000028,0.00013630820292499964,-0.010601535024563923
2013-10-01,64.83,0.3400000000000034,-6.657448700009832e-05,0.005205560727761934
2013-10-02,64.88,0.04999999999999716,-9.73151489318775e-06,0.0007615163641751009
2013-10-03,64.02,-0.8599999999999994,0.00016949982350885164,-0.013085740620387564
2013-10-04,65.3,1.2800000000000011,-0.0002506561868842526,0.019743095765630606
2013-10-07,64.59,-0.7099999999999937,0.00013780887678377292,-0.010735085457059928
2013-10-08,64.0,-0.5900000000000034,0.00011684336698610351,-0.009017697583625498
2013-10-09,63.59,-0.4099999999999966,8.247310925098041e-05,-0.0063237768907489665
2013-10-10,65.58,1.9899999999999949,-0.00039065208734835355,0.030903576564955387
2013-10-11,66.21,0.6299999999999955,-0.00011877987375120363,0.009487807500448177
2013-10-14,66.83,0.6200000000000045,-0.00011470806416599374,0.009249436324899172
2013-10-15,66.44,-0.39000000000000057,7.190528835349642e-05,-0.0057637972404509415
2013-10-16,66.35,-0.09000000000000341,1.671357169090825e-05,-0.001337892087550564
2013-10-17,66.42,0.07000000000000739,-1.3003358964850348e-05,0.0010420079447278007
2013-10-18,67.15,0.730000000000004,-0.0001339908931266748,0.010856674569083562
2013-10-21,67.61,0.45999999999999375,-8.294652359276168e-05,0.0067673885471443
2013-10-22,69.0,1.3900000000000006,-0.00024392262420803407,0.02031516626796769
2013-10-23,68.12,-0.8799999999999955,0.00015326968054661154,-0.01260035350785912
2013-10-24,69.05,0.9299999999999926,-0.00016186089461977404,0.013490517261575068
2013-10-25,69.26,0.21000000000000796,-3.594764421604284e-05,0.0030053267945965275
2013-10-28,69.0,-0.2600000000000051,4.453885828920563e-05,-0.003709431687480432
2013-10-29,68.92,-0.0799999999999983,1.377187073132878e-05,-0.001145648419123719
2013-10-30,68.47,-0.45000000000000284,7.806641343065768e-05,-0.006451242930736534
2013-10-31,68.59,0.12000000000000455,-2.091786835259204e-05,0.001731674507870638
2013-11-01,69.01,0.4200000000000017,-7.263965456248078e-05,0.006050701940422235
2013-11-04,68.81,-0.20000000000000284,3.447971921606471e-05,-0.002863650986478803
2013-11-05,68.85,0.03999999999999204,-6.911969275526769e-06,0.0005743988867045929
2013-11-06,69.0,0.15000000000000568,-2.5848511187451303e-05,0.002152800726285398
2013-11-07,67.15,-1.8499999999999943,0.0003268691478007997,-0.02648472505509767
2013-11-08,68.58,1.4299999999999926,-0.00025420837225812576,0.021041398478076834
2013-11-11,68.34,-0.23999999999999488,4.19214307658735e-05,-0.003457641123914717
2013-11-12,67.77,-0.5700000000000074,0.00010075339884268574,-0.008239896293870327
2013-11-13,68.97,1.2000000000000028,-0.00021017489761098,0.017496775080255378
2013-11-14,70.02,1.0499999999999972,-0.00017799355483732267,0.01504601688448408
2013-11-15,70.0,-0.01999999999999602,3.340466796497246e-06,-0.0002822922095816236
2013-11-18,69.5,-0.5,8.413650542834075e-05,-0.007058720637428802
2013-11-19,69.12,-0.37999999999999545,6.475784271972993e-05,-0.005402868056560779
2013-11-20,69.23,0.10999999999999943,-1.881880032205155e-05,0.0015726163848631253
2013-11-21,69.94,0.7099999999999937,-0.00012004268458220437,0.010135626822856677
2013-11-22,70.2,0.2600000000000051,-4.335187821401229e-05,0.0036741202407451685
2013-11-25,69.74,-0.46000000000000796,7.691943519073536e-05,-0.006475787117515931
2013-11-26,71.18,1.440000000000012,-0.0002374760822092504,0.020410645512284758
2013-11-27,70.77,-0.4100000000000108,6.66306404259693e-05,-0.005693414316022623
2013-11-29,70.54,-0.22999999999998977,3.77172912331228e-05,-0.0032122473830637514
2013-12-02,70.91,0.36999999999999034,-6.05558484551885e-05,0.005184695073007674
2013-12-03,69.9,-1.009999999999991,0.00016681458630202816,-0.014076592549503794
2013-12-04,69.97,0.06999999999999318,-1.171672671636239e-05,0.0009897138884480607
2013-12-05,70.23,0.2600000000000051,-4.3314780281766566e-05,0.0036725634532469614
2013-12-06,71.46,1.2299999999999898,-0.00020063964062022935,0.01731324331538133
