Date,Valeurs,Gain,Rendement,Rentabilite
2013-09-04,73.35,0.789999999999992,-0.0001153892883955931,0.010772152056698013
2013-09-05,74.04,0.6900000000000119,-9.876847732886911e-05,0.009308184487906468
2013-09-06,74.06,0.01999999999999602,-2.835408741079884e-06,0.00026728884841715914
2013-09-09,74.25,0.18999999999999773,-2.6860199330655115e-05,0.002538627243283411
2013-09-10,74.63,0.37999999999999545,-5.3310099488900384e-05,0.005064535018356156
2013-09-11,75.18,0.5500000000000114,-7.685377857855737e-05,0.007292836694421729
2013-09-12,74.74,-0.44000000000001194,6.13925340681592e-05,-0.005791227843692042
2013-09-13,74.48,-0.2599999999999909,3.6618359563379424e-05,-0.0034421078914399776
2013-09-16,75.12,0.6400000000000006,-8.968153334208488e-05,0.008503229315207868
2013-09-17,74.31,-0.8100000000000023,0.00011376285343257937,-0.010668984750401315
2013-09-18,73.04,-1.269999999999996,0.0001834484275201182,-0.016907118118032242
2013-09-19,70.84,-2.200000000000003,0.00033335092309434255,-0.029787131004616538
2013-09-20,70.57,-0.27000000000001023,4.234317237661608e-05,-0.0037690628129425567
2013-09-23,71.82,1.25,-0.00019335828841389544,0.017519550879787894
2013-09-24,72.32,0.5,-7.54717611358883e-05,0.006886377305976337
2013-09-25,71.98,-0.3399999999999892,5.120671966726787e-05,-0.004650120713960902
2013-09-26,72.16,0.1799999999999926,-2.7169549446516713e-05,0.002473525087952658
2013-09-27,71.99,-0.1700000000000017,2.565656563081782e-05,-0.002330219265854793
2013-09-30,71.61,-0.37999999999999545,5.779044619544706e-05,-0.005220720458096753
2013-10-01,72.58,0.9699999999999989,-0.00014631855212259324,0.013399275638632871
2013-10-02,72.57,-0.010000000000005116,1.4884841393811415e-06,-0.0001362905183407114
2013-10-03,72.52,-0.04999999999999716,7.448578242982751e-06,-0.0006815413625038433
2013-10-04,72.99,0.46999999999999886,-6.961374485651325e-05,0.006411357021828525
2013-10-07,72.17,-0.8199999999999932,0.0001220427771642999,-0.011112372896215523
2013-10-08,71.48,-0.6899999999999977,0.00010486393244235783,-0.009455895385833902
2013-10-09,71.38,-0.10000000000000853,1.536587199021695e-05,-0.001383626853247731
2013-10-10,73.98,2.6000000000000085,-0.0003860119731870243,0.03603875686962621
2013-10-11,74.27,0.28999999999999204,-4.13798150581858e-05,0.0038785985574748233
2013-10-14,74.72,0.45000000000000284,-6.357414453509698e-05,0.005995399869198616
2013-10-15,73.87,-0.8499999999999943,0.00012073474293964938,-0.011255068254918947
2013-10-16,75.19,1.3199999999999932,-0.00018632196068054746,0.017682907767219723
2013-10-17,71.37,-3.819999999999993,0.0005580921060065066,-0.05024653616902998
2013-10-18,68.76,-2.6099999999999994,0.00041697233425216186,-0.03615301505540735
2013-10-21,68.2,-0.5600000000000023,9.362376084270443e-05,-0.008050646163531966
2013-10-22,68.86,0.6599999999999966,-0.00011018204807526759,0.009567237306763392
2013-10-23,68.01,-0.8499999999999943,0.0001422975526532027,-0.012201588593149794
2013-10-24,67.61,-0.4000000000000057,6.820160244794797e-05,-0.0058132864140203015
2013-10-25,67.62,0.010000000000005116,-1.7148739213573086e-06,0.00014619224041091775
2013-10-28,66.94,-0.6800000000000068,0.00011777858613620921,-0.00993841780546401
2013-10-29,68.08,1.1400000000000006,-0.0001961181981787138,0.016834058079084516
2013-10-30,68.01,-0.06999999999999318,1.1852883515913897e-05,-0.0010163492316426228
2013-10-31,68.26,0.25,-4.222009908351978e-05,0.0036337099112090836
2013-11-01,68.63,0.36999999999999034,-6.192125352224621e-05,0.005358529962416669
2013-11-04,68.95,0.3200000000000074,-5.301759304381143e-05,0.004609666364409305
2013-11-05,68.72,-0.23000000000000398,3.805648848757884e-05,-0.0032976940553848502
2013-11-06,70.29,1.5700000000000074,-0.0002548245444965941,0.02259150840078873
2013-11-07,69.76,-0.5300000000000011,8.474111083165147e-05,-0.0074554495279505525
2013-11-08,70.5,0.7399999999999949,-0.00011796534145494394,0.010489832823682597
2013-11-11,70.5,0.0,-0.0,0.0
2013-11-12,69.95,-0.5499999999999972,8.743879259206954e-05,-0.0077139796471242025
2013-11-13,71.01,1.0600000000000023,-0.00016730808645147046,0.014986373114406317
2013-11-14,71.44,0.4299999999999926,-6.645471431799818e-05,0.005989030428619512
2013-11-15,71.87,0.4300000000000068,-6.565951389621828e-05,0.005953377440191224
2013-11-18,71.68,-0.18999999999999773,2.8915203807026174e-05,-0.00261474696399592
2013-11-19,71.61,-0.07000000000000739,1.0691648390241373e-05,-0.0009658708516098616
2013-11-20,71.98,0.37000000000000455,-5.6277462379748174e-05,0.005110598672238386
2013-11-21,72.91,0.9299999999999926,-0.00013893200596599008,0.012781323620596842
2013-11-22,73.74,0.8299999999999983,-0.00012103365800252244,0.011262864298382039
2013-11-25,74.07,0.3299999999999983,-4.73681867467941e-05,0.0044278148889244605
2013-11-26,74.52,0.45000000000000284,-6.391688791371388e-05,0.006011417255464211
2013-11-27,74.36,-0.1599999999999966,2.263737439612053e-05,-0.0021244372364465605
2013-11-29,74.48,0.12000000000000455,-1.698714896615536e-05,0.001596783695573981
2013-12-02,74.16,-0.3200000000000074,4.542122967002134e-05,-0.004251034194605051
2013-12-03,73.73,-0.4299999999999926,6.165563838939005e-05,-0.0057366183637680085
2013-12-04,73.65,-0.0799999999999983,1.1650168148686332e-05,-0.0010733898427016907
2013-12-05,72.75,-0.9000000000000057,0.0001328299326189692,-0.012087129334183551
2013-12-06,73.5,0.75,-0.00011091751176175756,0.010198360838753705
