Date,Rendement,Rentabilite
2013-09-04,3.886895831734239e-05,0.02073353513376454
2013-09-05,-1.2973451376914076e-05,-0.006872932825017089
2013-09-06,1.1197855097725261e-05,0.005967544898124853
2013-09-09,2.9527425112611966e-05,0.015986333655292027
2013-09-10,-4.313399456453749e-05,-0.02282204226648905
2013-09-11,-0.00010903011530498204,-0.0545526658908185
2013-09-12,2.109853397531141e-05,0.010668722061374807
2013-09-13,-3.3203013640437684e-05,-0.016513348563578074
2013-09-16,-6.61549864299723e-05,-0.03185793816560823
2013-09-17,2.3764808184202197e-05,0.011576239703767578
2013-09-18,4.1436317095144265e-05,0.020598407238644853
2013-09-19,3.2520637622622196e-05,0.016430902319640363
2013-09-20,-2.0747650372106203e-05,-0.010374336471036909
2013-09-23,9.487772564135765e-05,0.04979428509818358
2013-09-24,-6.010853086543651e-06,-0.003144768394257185
2013-09-25,-3.0105848666561926e-05,-0.015507513331798947
2013-09-26,1.8762585368856775e-05,0.009758550345217784
2013-09-27,-1.3846830638852577e-05,-0.007150533927015034
2013-09-30,-2.4418235234869312e-05,-0.012453211606545072
2013-10-01,4.5134298336778796e-05,0.02355850608648566
2013-10-02,6.273441332141868e-06,0.003285230732913466
2013-10-03,-2.434050399693859e-05,-0.012586641345568916
2013-10-04,-1.5242979612477795e-06,-0.000787606505611177
2013-10-07,1.876491592192067e-05,0.009790414709930632
2013-10-08,-2.71916111977487e-05,-0.01398926234415521
2013-10-09,2.2605722999462336e-05,0.011766274371895426
2013-10-10,1.1990556412571573e-05,0.006280127049708771
2013-10-11,1.2320449125028618e-05,0.0064946604635845295
2013-10-14,1.2368344116976956e-05,0.006562533518666432
2013-10-15,9.996346102518143e-06,0.005332147785502539
2013-10-16,9.123008804086914e-06,0.0048900085466239826
2013-10-17,1.2544843682949421e-05,0.00676949036905236
2013-10-18,1.6016050882475493e-05,0.008717700887354202
2013-10-21,4.403001347768525e-05,0.024552273445260547
2013-10-22,-5.1646379774170855e-06,-0.002871694995003853
2013-10-23,1.7477856274005476e-05,0.009813243123385502
2013-10-24,2.3312907652694954e-05,0.013262416839380696
2013-10-25,-1.9927357357468935e-05,-0.011209790304096363
2013-10-28,1.3167857687160881e-05,0.007462431867360731
2013-10-29,-4.515334326135209e-05,-0.024952867600936696
2013-10-30,2.8382386572800968e-05,0.01593383994427791
2013-10-31,-7.490058422404304e-06,-0.0041873656909285776
2013-11-01,-9.207249260612712e-06,-0.005121106572393154
2013-11-04,2.2978005942765278e-05,0.012945309409900282
2013-11-05,-4.402690833608897e-06,-0.0024742650543835487
2013-11-06,-1.5491900601112025e-05,-0.008634787017729718
2013-11-07,-2.9557683024925144e-05,-0.01620862548614248
2013-11-08,2.8314701544434758e-05,0.015770999465404133
2013-11-11,-5.239350568408727e-06,-0.002909803665920998
2013-11-12,3.3370278991366854e-06,0.0018567301630234203
2013-11-13,2.157964772876625e-06,0.0012021348882936237
2013-11-14,2.5625371106877832e-05,0.014481077761845772
2013-11-15,-1.0700617907979489e-05,-0.006010776352533819
2013-11-18,-2.1877061714489748e-05,-0.01214018004214647
2013-11-19,3.2002172842951616e-06,0.0017790361231050946
2013-11-20,-1.5921383424965496e-05,-0.00877350005727725
2013-11-21,2.1405778617613864e-05,0.011935968885413666
2013-11-22,-4.6176721013646004e-06,-0.0025682478953060806
2013-11-25,1.355027738481967e-05,0.007593388676769303
2013-11-26,3.237519210329556e-05,0.01847664143107677
2013-11-27,4.0381252551014415e-05,0.023587437870473887
2013-11-29,3.117919138841756e-05,0.018549019326196854
2013-12-02,-1.4783832505508436e-05,-0.00871872398392535
2013-12-03,4.526416371025252e-05,0.0274240352755873
2013-12-04,-3.868330367816906e-06,-0.002338229347598302
2013-12-05,8.465071494387543e-06,0.005142978345830588
2013-12-06,-2.320113011716257e-05,-0.013900619905572694
2013-12-09,1.8919612107017023e-05,0.011464939397114638
2013-12-10,-2.5719907440373774e-06,-0.001556162019520754
2013-12-11,-1.2356786288570854e-05,-0.007421073964256816
2013-12-12,-2.43988727802429e-06,-0.0014631780944891722
2013-12-13,-1.840737509323549e-05,-0.01091861075040992
2013-12-16,9.299310842835154e-06,0.005546517715330417
2013-12-17,-7.595347960660153e-06,-0.0045098375004270115
2013-12-18,-1.2925906179481495e-05,-0.007616666514118412
2013-12-19,-1.970139991360306e-05,-0.01147638930956726
2013-12-20,1.4282843621114306e-05,0.008389553754248057
2013-12-23,6.302849395803647e-05,0.03844050108147771
2013-12-24,-7.001320879269273e-06,-0.004251945101685936
2013-12-26,-1.1026744078382365e-05,-0.006652209121163629
2013-12-27,-1.1294552935773313e-05,-0.006767811665898967
2013-12-30,-1.6791293186573197e-05,-0.009961621588317801
2013-12-31,1.9562384065404862e-05,0.011741411911584702
2014-01-02,-2.380539699035057e-05,-0.014087475141384465
2014-01-03,-3.801647430517396e-05,-0.022003919607384157
2014-01-06,9.386458765858847e-06,0.0054624531155737475
2014-01-07,-1.2406968322007314e-05,-0.007168658691889245
2014-01-08,1.0918322976969435e-05,0.006348441180185985
2014-01-09,-2.228811481799629e-05,-0.01279415724962098
2014-01-10,-1.1719315796842204e-05,-0.006682498915400866
2014-01-13,9.149216440857321e-06,0.005244260110725324
2014-01-14,3.409671020266503e-05,0.019932179699768245
2014-01-15,3.3726561847198224e-05,0.02011096077184377
2014-01-16,-9.425900967804186e-06,-0.005589302461897928
2014-01-17,-4.242929135690119e-05,-0.0245440080013254
2014-01-21,2.649252060651685e-05,0.015562771581771538
2014-01-22,7.54419147168961e-06,0.004451422021256491
