Date,Valeurs,Gain,Rendement,Rentabilite
2013-09-04,87.76,0.6099999999999994,-3.777779029563506e-05,0.006961648486239068
2013-09-05,87.35,-0.4100000000000108,2.5333491867998943e-05,-0.004646498777958924
2013-09-06,87.25,-0.09999999999999432,6.215017810707674e-06,-0.0011386046730879108
2013-09-09,88.04,0.7900000000000063,-4.871383763682722e-05,0.00900572742310823
2013-09-10,87.82,-0.22000000000001307,1.3477828836298453e-05,-0.0024853863238217325
2013-09-11,88.84,1.0200000000000102,-6.192541298773128e-05,0.011552740950027644
2013-09-12,87.98,-0.8599999999999994,5.2116670912071715e-05,-0.009628207507385985
2013-09-13,88.4,0.4200000000000017,-2.55790134484894e-05,0.004748233216603815
2013-09-16,88.67,0.269999999999996,-1.6315692558912263e-05,0.003037982949974979
2013-09-17,88.94,0.269999999999996,-1.6216631686618444e-05,0.00302878167664761
2013-09-18,89.58,0.6400000000000006,-3.804893570231395e-05,0.007157813443429692
2013-09-19,89.28,-0.29999999999999716,1.7767516913242236e-05,-0.003331194304921957
2013-09-20,88.66,-0.6200000000000045,3.710056328877077e-05,-0.006907343881155725
2013-09-23,87.75,-0.9099999999999966,5.540350784456376e-05,-0.010208526110923726
2013-09-24,87.36,-0.39000000000000057,2.4097699202801455e-05,-0.004420346745241649
2013-09-25,87.14,-0.21999999999999886,1.3688732046576362e-05,-0.002504626286268429
2013-09-26,87.07,-0.07000000000000739,4.370012331312996e-06,-0.0007989350140630798
2013-09-27,86.9,-0.1699999999999875,1.0642197710602151e-05,-0.001941809852363907
2013-09-30,86.04,-0.8599999999999994,5.448149239816562e-05,-0.009841951188844634
2013-10-01,86.0,-0.04000000000000625,2.560541746566435e-06,-0.00046233950474351086
2013-10-02,86.08,0.0799999999999983,-5.118703807493888e-06,0.0009251138543320212
2013-10-03,85.5,-0.5799999999999983,3.7327623672192954e-05,-0.00670059059194117
2013-10-04,86.32,0.8199999999999932,-5.262680789755699e-05,0.009538016466956165
2013-10-07,85.9,-0.4199999999999875,2.6829675340032794e-05,-0.004838786636059266
2013-10-08,85.51,-0.39000000000000057,2.514926280933905e-05,-0.004515013717400213
2013-10-09,85.16,-0.3500000000000085,2.27659725392563e-05,-0.004070322555118426
2013-10-10,86.04,0.8800000000000097,-5.688756440233664e-05,0.01027660233695992
2013-10-11,86.95,0.9099999999999966,-5.761587035257537e-05,0.01051886018729499
2013-10-14,87.6,0.6499999999999915,-4.042131021800013e-05,0.00743513935683193
2013-10-15,86.79,-0.8099999999999881,5.046403197813712e-05,-0.009196111310487481
2013-10-16,87.31,0.519999999999996,-3.250426795776815e-05,0.0059589694041242225
2013-10-17,87.48,0.1700000000000017,-1.054257941879698e-05,0.0019365425196534937
2013-10-18,87.55,0.06999999999999318,-4.329162000460549e-06,0.0007958537369477925
2013-10-21,87.23,-0.3199999999999932,1.984717403516183e-05,-0.003635207080676354
2013-10-22,87.98,0.75,-4.6289464405398994e-05,0.008551669953226149
2013-10-23,87.61,-0.37000000000000455,2.2737086217413714e-05,-0.004182764164066793
2013-10-24,88.42,0.8100000000000023,-4.952808661304803e-05,0.009195991831204578
2013-10-25,87.97,-0.45000000000000284,2.7403001453583627e-05,-0.005061943300288136
2013-10-28,88.23,0.2600000000000051,-1.5866940723531513e-05,0.002939686088718382
2013-10-29,88.93,0.7000000000000028,-4.2257538029666e-05,0.007891551823865412
2013-10-30,88.81,-0.12000000000000455,7.196839314152321e-06,-0.0013421790743258402
2013-10-31,89.62,0.8100000000000023,-4.820464975899259e-05,0.009072389877884316
2013-11-01,89.82,0.19999999999998863,-1.1768543795673315e-05,0.0022198761783644317
2013-11-04,92.1,2.280000000000001,-0.00013054880133158146,0.02525355273507458
2013-11-05,91.99,-0.10999999999999943,6.149830678183389e-06,-0.0011882041324054154
2013-11-06,93.22,1.230000000000004,-6.794008978922334e-05,0.013303078499187883
2013-11-07,91.96,-1.2600000000000051,7.110376298718485e-05,-0.013445309023968458
2013-11-08,92.73,0.7700000000000102,-4.368190843327689e-05,0.008329523833193629
2013-11-11,92.96,0.22999999999998977,-1.2907483024265417e-05,0.002467411723273478
2013-11-12,92.67,-0.28999999999999204,1.6285189674611847e-05,-0.003103336152838211
2013-11-13,92.59,-0.0799999999999983,4.5104185144055205e-06,-0.0008587678808273263
2013-11-14,93.22,0.6299999999999955,-3.53099797186599e-05,0.006768880537615775
2013-11-15,95.27,2.049999999999997,-0.00011166541867489426,0.021879323639467107
2013-11-18,95.45,0.18000000000000682,-9.575699493783384e-06,0.0018797913625405067
2013-11-19,95.42,-0.030000000000001137,1.5934410863773195e-06,-0.0003127072398984434
2013-11-20,94.68,-0.7399999999999949,3.96245332537967e-05,-0.007715563058446003
2013-11-21,94.69,0.009999999999990905,-5.395947748519163e-07,0.0001050793321367546
2013-11-22,95.01,0.3200000000000074,-1.720705888913659e-05,0.00336224166853728
2013-11-25,95.09,0.0799999999999983,-4.283669171869467e-06,0.0008377329606565516
2013-11-26,94.27,-0.8200000000000074,4.425227465999935e-05,-0.008579157126959596
2013-11-27,93.8,-0.46999999999999886,2.5712932742044108e-05,-0.004959966498678333
2013-11-29,93.48,-0.3199999999999932,1.7654626641484014e-05,-0.0033938592326334966
2013-12-02,93.52,0.03999999999999204,-2.2134356006347646e-06,0.00042568558023154367
2013-12-03,94.39,0.8700000000000045,-4.767809226459915e-05,0.009255144833312866
2013-12-04,94.67,0.28000000000000114,-1.515827457270066e-05,0.0029512576593186133
2013-12-05,94.13,-0.5400000000000063,2.93145630638214e-05,-0.005674709943115605
