Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2013-09-20,70.55,71.75,70.4,70.57,9088700.0,0.0,1.0,62.9307423633567,64.00114478484541,62.796942060670624,62.948582403714845,9088700.0
2013-09-23,70.8,71.94,70.62,71.82,4482500.0,0.0,1.0,63.153742867833515,64.17062516824778,62.99318250461022,64.06358492609891,4482500.0
2013-09-24,72.18,72.94,71.63,72.32,4855200.0,0.0,1.0,64.38470565254553,65.06262718615504,63.89410454269653,64.50958593505254,4855200.0
2013-09-25,72.3,72.66,71.86,71.98,4812900.0,0.0,1.0,64.49174589469439,64.81286662114101,64.0992650068152,64.20630524896409,4812900.0
2013-09-26,72.0,72.81,71.92,72.16,2413200.0,0.0,1.0,64.22414528932222,64.9466669238271,64.15278512788964,64.36686561218738,2413200.0
2013-09-27,71.7,72.11,71.5,71.99,3548000.0,0.0,1.0,63.95654468395005,64.32226551129202,63.77814428036859,64.21522526914315,3548000.0
2013-09-30,71.29,71.67,71.01,71.61,4183600.0,0.0,1.0,63.590823856608075,63.92978462341283,63.34106329159405,63.876264502338394,4183600.0
2013-10-01,71.74,72.94,71.65,72.58,4322300.0,0.0,1.0,63.99222476466633,65.06262718615504,63.91194458305469,64.74150645970843,4322300.0
2013-10-02,72.24,72.63,72.07,72.57,2705700.0,0.0,1.0,64.43822577361996,64.78610656060378,64.28658543057573,64.73258643952936,2705700.0
2013-10-03,72.5,72.98,72.26,72.52,5038300.0,0.0,1.0,64.67014629827585,65.09830726687133,64.45606581397811,64.68798633863399,5038300.0
2013-10-04,72.5,73.135,72.23,72.99,4297600.0,0.0,1.0,64.67014629827585,65.23656757964696,64.4293057534409,65.10722728705039,4297600.0
2013-10-07,72.59,72.7,72.16,72.17,4787000.0,0.0,1.0,64.75042647988751,64.8485467018573,64.36686561218738,64.37578563236646,4787000.0
2013-10-08,72.0,72.415,71.43,71.48,6049100.0,0.0,1.0,64.22414528932222,64.59432612675374,63.7157041391151,63.760304240010456,6049100.0
2013-10-09,71.71,71.88,71.175,71.38,4464100.0,0.0,1.0,63.96546470412911,64.11710504717335,63.48824362454874,63.671104038219724,4464100.0
2013-10-10,72.13,73.98,71.84,73.98,4894300.0,0.0,1.0,64.34010555165015,65.99030928477859,64.08142496645706,65.99030928477859,4894300.0
2013-10-11,73.93,74.27,73.495,74.27,2935800.0,0.0,1.0,65.94570918388322,66.24898986997168,65.55768830609357,66.24898986997168,2935800.0
2013-10-14,73.86,74.81,73.52,74.72,2562200.0,0.0,1.0,65.8832690426297,66.7306709596416,65.57998835654125,66.65039077802994,2562200.0
2013-10-15,74.51,74.925,73.76,73.87,2922900.0,0.0,1.0,66.46307035426943,66.83325119170094,65.79406884083899,65.8921890628088,2922900.0
2013-10-16,74.5,75.49,74.38,75.19,4368600.0,0.0,1.0,66.45415033409036,67.33723233181853,66.34711009194147,67.06963172644636,4368600.0
2013-10-17,71.77,72.88,71.05,71.37,21810200.0,0.0,1.0,64.01898482520355,65.0091070650806,63.37674337231033,63.662184018040655,21810200.0
2013-10-18,71.26,71.35,67.54,68.76,21080600.0,0.0,1.0,63.56406379607086,63.6443439776825,60.24581628945588,61.33405875130273,21080600.0
2013-10-21,68.65,68.77,67.09,68.2,11496900.0,0.0,1.0,61.23593852933293,61.34297877148179,59.84441538139761,60.83453762127466,11496900.0
2013-10-22,68.22,69.634,68.22,68.86,7647300.0,0.0,1.0,60.85237766163281,62.11366851495366,60.85237766163281,61.423258953093445,7647300.0
2013-10-23,68.51,68.605,67.65,68.01,8227700.0,0.0,1.0,61.11105824682591,61.1957984385271,60.343936511425674,60.66505723787229,8227700.0
2013-10-24,68.01,68.39,67.18,67.61,6352500.0,0.0,1.0,60.66505723787229,61.004018004677036,59.924695563009266,60.30825643070938,6352500.0
2013-10-25,67.51,68.18,67.28,67.62,6892500.0,0.0,1.0,60.21905622891866,60.81669758091652,60.01389576479999,60.31717645088846,6892500.0
2013-10-28,67.55,67.7999,66.72,66.94,6989300.0,0.0,1.0,60.25473630963494,60.477647613909966,59.514374634771926,59.71061507871152,6989300.0
2013-10-29,66.88,68.145,66.85,68.08,5860000.0,0.0,1.0,59.657094957637085,60.78547751028976,59.630334897099864,60.727497379125786,5860000.0
2013-10-30,68.12,68.67,67.77,68.01,4360500.0,0.0,1.0,60.76317745984208,61.25377856969107,60.45097675357454,60.66505723787229,4360500.0
2013-10-31,68.4,68.71,67.86,68.26,4216700.0,0.0,1.0,61.01293802485612,61.289458650407354,60.53125693518619,60.8880577423491,4216700.0
2013-11-01,68.27,68.7,67.95,68.63,4459000.0,0.0,1.0,60.89697776252817,61.28053863022829,60.61153711679785,61.218098488974775,4459000.0
2013-11-04,68.78,69.26,68.355,68.95,3698700.0,0.0,1.0,61.351898791660865,61.78005976025635,60.97279793405029,61.5035391347051,3698700.0
2013-11-05,68.5,68.94,68.27,68.72,3328700.0,0.0,1.0,61.10213822664684,61.494619114526024,60.89697776252817,61.29837867058643,3328700.0
2013-11-06,68.87,71.021,68.8,70.29,5479400.0,0.0,1.0,61.43217897327252,63.35087531379102,61.36973883201901,62.69882183870082,5479400.0
2013-11-07,70.9,70.98,69.66,69.76,4497300.0,0.0,1.0,63.242943069624246,63.314303231056826,62.13686056741925,62.22606076920998,4497300.0
2013-11-08,69.7,70.53,69.64,70.5,3741900.0,0.0,1.0,62.172540648135545,62.91290232299856,62.1190205270611,62.88614226246134,3741900.0
2013-11-11,70.73,70.95,70.29,70.5,3082600.0,0.0,1.0,63.09130272658001,63.28754317051961,62.69882183870082,62.88614226246134,3082600.0
2013-11-12,70.47,70.9,69.87,69.95,3604800.0,0.0,1.0,62.85938220192413,63.242943069624246,62.32418099117978,62.39554115261235,3604800.0
2013-11-13,69.95,71.13,69.81,71.01,3879500.0,0.0,1.0,62.39554115261235,63.44810353374291,62.27066087010534,63.34106329159405,3879500.0
2013-11-14,71.34,71.6,70.94,71.44,3581200.0,0.0,1.0,63.63542395750344,63.86734448215932,63.27862315034053,63.72462415929416,3581200.0
2013-11-15,71.13,71.96,71.09,71.87,3872600.0,0.0,1.0,63.44810353374291,64.18846520860593,63.412423453026626,64.10818502699428,3872600.0
2013-11-18,71.97,72.1,71.5,71.68,3263700.0,0.0,1.0,64.19738522878501,64.31334549111294,63.77814428036859,63.938704643591905,3263700.0
2013-11-19,71.76,71.9101,71.26,71.61,4260900.0,0.0,1.0,64.01006480502448,64.14395430791237,63.56406379607086,63.876264502338394,4260900.0
2013-11-20,71.88,72.86,71.66,71.98,5031300.0,0.0,1.0,64.11710504717335,64.99126702472246,63.92086460323375,64.20630524896409,5031300.0
2013-11-21,72.39,73.68,72.37,72.91,4368000.0,0.0,1.0,64.57202607630605,65.72270867940641,64.55418603594791,65.03586712561781,4368000.0
2013-11-22,72.91,73.75,72.8,73.74,3178400.0,0.0,1.0,65.03586712561781,65.78514882065991,64.93774690364802,65.77622880048084,3178400.0
2013-11-25,74.0,74.66,73.79,74.07,3773900.0,0.0,1.0,66.00814932513673,66.59687065695552,65.82082890137622,66.07058946639023,3773900.0
2013-11-26,74.21,74.99,74.05,74.52,4635400.0,0.0,1.0,66.19546974889725,66.89123132286491,66.0527494260321,66.4719903744485,4635400.0
